,Team,Date,Home,Spread
0,Los Angeles Clippers,2020-08-08,1,4.7
1,Portland Trail Blazers,2020-08-08,0,-4.7
2,Denver Nuggets,2020-08-08,1,-1.5
3,Utah Jazz,2020-08-08,0,1.5
4,Indiana Pacers,2020-08-08,1,6.0
5,Los Angeles Lakers,2020-08-08,0,-6.0
6,Miami Heat,2020-08-08,1,2.0
7,Phoenix Suns,2020-08-08,0,-2.0
8,Dallas Mavericks,2020-08-08,1,5.5
9,Milwaukee Bucks,2020-08-08,0,-5.5
10,Denver Nuggets,2020-08-10,1,1.5
11,Los Angeles Lakers,2020-08-10,0,-1.5
