,Team,Home,ML,expected_payout
0,BRK,1,166,2.444082498550415
1,ORL,0,-194,-2.1310369968414307
2,HOU,1,-127,-2.3125314712524414
3,SAS,0,-123,7.243715226650238
4,PHI,1,284,8.658758282661438
5,PHO,0,-345,-0.8408368825912476
6,BOS,1,-146,6.4737759828567505
7,MEM,0,128,13.807021856307983
8,DAL,1,127,-0.24794167280197144
9,POR,0,-146,-2.711193025112152
10,NOP,1,-107,-5.37385430932045
11,SAC,0,-110,2.00549978017807
12,MIL,1,-380,2.930644154548645
13,WAS,0,308,13.95833945274353
